
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
名探偵コナンの登場人物/history20180113||4913||4913||159||159||0.0323631182576837||0.0323631182576837
ちちんぷいぷい (テレビ番組)/history20180113||4852||4852||50||50||0.010305028854080791||0.010305028854080791
3年B組金八先生)/history20180113||4832||4832||83||83||0.017177152317880796||0.017177152317880796
SASUKE/history20180113||4826||4826||51||51||0.010567757977621219||0.010567757977621219
青森放送/history20180113||4820||4820||17||17||0.0035269709543568465||0.0035269709543568465
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
海賊 (ONE PIECE)/history20180113||4787||4787||291||291||0.060789638604554||0.060789638604554
イナズマイレブンの登場人物/history20150222||4752||4752||60||60||0.012626262626262626||0.012626262626262626
新日本プロレス/history20160321||4658||4658||32||32||0.006869901245169601||0.006869901245169601
ゲームセンターCX/history20160321||4614||4614||28||28||0.006068487212830516||0.006068487212830516
スーパー戦隊シリーズ/history20160321||4591||4591||77||77||0.016771945109997823||0.016771945109997823
AKB48/history20160321||4587||4587||468||468||0.10202746893394375||0.10202746893394375
相棒/history20150820||4577||4577||186||186||0.04063797247105091||0.04063797247105091
仮面ライダーフォーゼ||4551||4551||96||96||0.02109426499670402||0.02109426499670402
SMAP||4548||4548||195||195||0.04287598944591029||0.04287598944591029
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
24時間テレビ 「愛は地球を救う」/history20160321||4527||4527||115||115||0.025403136735144688||0.025403136735144688
アニメ版ポケットモンスターの登場人物/history20160321||4513||4513||59||59||0.013073343673831155||0.013073343673831155
ZIP!/history20181110||4486||4486||79||79||0.01761034329023629||0.01761034329023629
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
ONE PIECEの登場人物一覧||4398||4398||277||277||0.0629831741700773||0.0629831741700773
相棒の登場人物/history20190113||4389||4389||102||102||0.02323991797676008||0.02323991797676008
情報ライブ ミヤネ屋||4381||4381||57||57||0.013010728144259302||0.013010728144259302
オールスター感謝祭/history20190417||4370||4370||126||126||0.028832951945080093||0.028832951945080093
めざましテレビ/history20190417||4365||4365||61||61||0.013974799541809852||0.013974799541809852
トリコ||4358||4358||109||109||0.025011473152822396||0.025011473152822396
モーニング娘。||4339||4339||146||146||0.03364830606130445||0.03364830606130445
WWEに所属する人物一覧||4336||4336||14||14||0.0032287822878228783||0.0032287822878228783
読売ジャイアンツ||4324||4324||101||101||0.02335800185013876||0.02335800185013876
フジテレビジョン||4307||4307||72||72||0.016716972370559555||0.016716972370559555
銀魂 (アニメ)||4286||4286||20||20||0.004666355576294913||0.004666355576294913
BLEACHの登場人物||4279||4279||57||57||0.013320869362000467||0.013320869362000467
アニメ+/history20190113||4212||4212||20||20||0.004748338081671415||0.004748338081671415
阪神タイガース||4207||4207||123||123||0.029236985975754696||0.029236985975754696
福山潤||4198||4198||167||167||0.039780848022868034||0.039780848022868034
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
Yes!プリキュア5||4156||4156||92||92||0.02213666987487969||0.02213666987487969
銀魂の登場人物一覧||4149||4149||59||59||0.014220294046758255||0.014220294046758255
テレビ東京||4137||4137||74||74||0.01788735798888083||0.01788735798888083
仮面ライダーシリーズ||4092||4092||132||132||0.03225806451612903||0.03225806451612903
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
仮面ライダー鎧武/ガイム||4089||4089||120||120||0.029347028613352897||0.029347028613352897
安倍晋三||4080||4080||389||389||0.09534313725490196||0.09534313725490196
めちゃ×2イケてるッ!||4054||4054||100||100||0.0246669955599408||0.0246669955599408
石原慎太郎||4033||4033||133||133||0.03297793206050087||0.03297793206050087
ジャニーズJr.||4025||4025||120||120||0.02981366459627329||0.02981366459627329
ドラゴンボールの登場人物||4007||4007||98||98||0.024457199900174694||0.024457199900174694
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
成田国際空港||3994||3994||58||58||0.014521782674011016||0.014521782674011016
パネルクイズ アタック25||3986||3986||78||78||0.019568489713998997||0.019568489713998997
中部国際空港||3975||3975||52||52||0.013081761006289308||0.013081761006289308
SKE48||3974||3974||189||189||0.04755913437342728||0.04755913437342728
トヨタ自動車||3930||3930||131||131||0.03333333333333333||0.03333333333333333
VS嵐||3928||3928||54||54||0.01374745417515275||0.01374745417515275
新世紀エヴァンゲリオン||3927||3927||113||113||0.028775146422205244||0.028775146422205244
水樹奈々||3894||3894||179||179||0.04596815613764766||0.04596815613764766
パワーパフガールズ||3891||3891||47||47||0.012079157029041377||0.012079157029041377
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
