
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||5009||5009||25||25||0.004991016170892394||0.004991016170892394
仮面ライダーディケイド/log20091223||4545||4545||174||174||0.03828382838283828||0.03828382838283828
仮面ライダー電王/log20080331||4484||4484||26||26||0.005798394290811775||0.005798394290811775
舞-乙HiME/log20120619||4043||4043||1||1||2.473410833539451E-4||2.473410833539451E-4
銀魂/log20081129||4000||4000||15||15||0.00375||0.00375
BLEACH/log20080419||3876||3876||20||20||0.005159958720330237||0.005159958720330237
銀魂の登場人物一覧/log20080904||3751||3751||3||3||7.997867235403892E-4||7.997867235403892E-4
ONE PIECE/log||3693||3693||29||29||0.00785269428648795||0.00785269428648795
クイズ!ヘキサゴンII/log20090401||3649||3649||31||31||0.008495478213209099||0.008495478213209099
ウルトラマンメビウス/log20100825||3648||3648||36||36||0.009868421052631578||0.009868421052631578
コードギアス 反逆のルルーシュ/log20080407||3609||3609||21||21||0.005818786367414797||0.005818786367414797
日本/log20090827||3600||3600||74||74||0.020555555555555556||0.020555555555555556
ネプリーグ/log20091026||3500||3500||10||10||0.002857142857142857||0.002857142857142857
家庭教師ヒットマンREBORN!/log20100415||3496||3496||125||125||0.03575514874141877||0.03575514874141877
涼宮ハルヒシリーズ/log20090701||3491||3491||76||76||0.021770266399312517||0.021770266399312517
エンタの神様/log20091223||3479||3479||28||28||0.008048289738430584||0.008048289738430584
ケロロ軍曹の登場人物一覧/log20090210||3435||3435||5||5||0.001455604075691412||0.001455604075691412
笑点/log20110201||3429||3429||8||8||0.0023330417031204435||0.0023330417031204435
プレイステーション3/log20100415||3417||3417||49||49||0.01434006438396254||0.01434006438396254
第二次世界大戦/log20120619||3310||3310||23||23||0.006948640483383686||0.006948640483383686
D.Gray-man||3286||3286||15||15||0.004564820450395618||0.004564820450395618
ズームイン!!SUPER/log20091228||3246||3246||8||8||0.0024645717806531116||0.0024645717806531116
森田一義アワー 笑っていいとも!/log20130117||3113||3113||13||13||0.004176035978156119||0.004176035978156119
ケロロ軍曹||3063||3063||12||12||0.0039177277179236044||0.0039177277179236044
ドラゴンボールの登場人物||3041||3041||23||23||0.007563301545544229||0.007563301545544229
ミュージックステーション/log20120615||3029||3029||7||7||0.00231099372730274||0.00231099372730274
