
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ZIP!/history20181110||5172||5172||103||103||0.01991492652745553||0.01991492652745553
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
天才てれびくんシリーズのドラマ||5001||5001||89||89||0.01779644071185763||0.01779644071185763
ゲゲゲの鬼太郎の登場キャラクター/history20190113||4990||4990||28||28||0.0056112224448897794||0.0056112224448897794
WWEに所属する人物一覧||4966||4966||14||14||0.002819170358437374||0.002819170358437374
オールスター感謝祭/history20190417||4953||4953||142||142||0.02866949323642237||0.02866949323642237
アニメ+/history20190113||4939||4939||22||22||0.004454342984409799||0.004454342984409799
めざましテレビ/history20190417||4925||4925||69||69||0.01401015228426396||0.01401015228426396
名探偵コナンの登場人物/history20180113||4918||4918||159||159||0.03233021553477023||0.03233021553477023
ちちんぷいぷい (テレビ番組)/history20180113||4878||4878||51||51||0.010455104551045511||0.010455104551045511
相棒の登場人物/history20190113||4866||4866||107||107||0.02198931360460337||0.02198931360460337
ONE PIECEの登場人物一覧||4843||4843||298||298||0.06153210819739831||0.06153210819739831
3年B組金八先生)/history20180113||4838||4838||83||83||0.01715584952459694||0.01715584952459694
SASUKE/history20180113||4830||4830||51||51||0.010559006211180125||0.010559006211180125
青森放送/history20180113||4827||4827||17||17||0.0035218562253987984||0.0035218562253987984
海賊 (ONE PIECE)/history20180113||4791||4791||291||291||0.06073888541014402||0.06073888541014402
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
イナズマイレブンの登場人物/history20150222||4752||4752||60||60||0.012626262626262626||0.012626262626262626
情報ライブ ミヤネ屋||4728||4728||65||65||0.013747884940778343||0.013747884940778343
フジテレビジョン||4702||4702||91||91||0.019353466609953213||0.019353466609953213
福山潤||4701||4701||197||197||0.04190597745160604||0.04190597745160604
SMAP||4660||4660||211||211||0.04527896995708155||0.04527896995708155
新日本プロレス/history20160321||4658||4658||32||32||0.006869901245169601||0.006869901245169601
グルメチキンレース・ゴチになります!||4658||4658||70||70||0.015027908973808502||0.015027908973808502
仮面ライダーフォーゼ||4653||4653||98||98||0.02106168063614872||0.02106168063614872
ゲームセンターCX/history20160321||4614||4614||28||28||0.006068487212830516||0.006068487212830516
めちゃ×2イケてるッ!||4604||4604||129||129||0.02801911381407472||0.02801911381407472
スーパー戦隊シリーズ/history20160321||4591||4591||77||77||0.016771945109997823||0.016771945109997823
AKB48/history20160321||4587||4587||468||468||0.10202746893394375||0.10202746893394375
読売ジャイアンツ||4585||4585||135||135||0.029443838604143947||0.029443838604143947
相棒/history20150820||4577||4577||186||186||0.04063797247105091||0.04063797247105091
プリキュアシリーズ||4570||4570||215||215||0.047045951859956234||0.047045951859956234
モーニング娘。||4554||4554||158||158||0.03469477382520861||0.03469477382520861
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
24時間テレビ 「愛は地球を救う」/history20160321||4527||4527||115||115||0.025403136735144688||0.025403136735144688
成田国際空港||4526||4526||69||69||0.01524524966858153||0.01524524966858153
アニメ版ポケットモンスターの登場人物/history20160321||4513||4513||59||59||0.013073343673831155||0.013073343673831155
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
銀魂 (アニメ)||4428||4428||26||26||0.005871725383920506||0.005871725383920506
BLEACHの登場人物||4427||4427||60||60||0.01355319629545968||0.01355319629545968
関西国際空港||4426||4426||58||58||0.013104383190239493||0.013104383190239493
安倍晋三||4421||4421||450||450||0.10178692603483375||0.10178692603483375
仮面ライダー鎧武/ガイム||4406||4406||158||158||0.035860190649114845||0.035860190649114845
阪神タイガース||4380||4380||144||144||0.03287671232876712||0.03287671232876712
トリコ||4374||4374||109||109||0.024919981710105166||0.024919981710105166
龍が如くシリーズの登場人物||4367||4367||33||33||0.007556675062972292||0.007556675062972292
ジャニーズJr.||4363||4363||157||157||0.035984414393765755||0.035984414393765755
スーパーJチャンネル||4339||4339||139||139||0.032035031113159716||0.032035031113159716
SKE48||4336||4336||206||206||0.047509225092250924||0.047509225092250924
水樹奈々||4306||4306||204||204||0.04737575476079889||0.04737575476079889
テレビ東京||4294||4294||94||94||0.021891010712622262||0.021891010712622262
ドラゴンボール||4293||4293||181||181||0.04216165851385977||0.04216165851385977
平成||4287||4287||132||132||0.03079076277116865||0.03079076277116865
VS嵐||4274||4274||59||59||0.013804398689751989||0.013804398689751989
トヨタ自動車||4268||4268||137||137||0.032099343955014056||0.032099343955014056
銀魂の登場人物一覧||4267||4267||60||60||0.014061401453011484||0.014061401453011484
仮面ライダーシリーズ||4246||4246||148||148||0.03485633537447009||0.03485633537447009
中部国際空港||4240||4240||62||62||0.014622641509433962||0.014622641509433962
Yes!プリキュア5||4240||4240||100||100||0.02358490566037736||0.02358490566037736
SAMURAI BASEBALL||4235||4235||63||63||0.01487603305785124||0.01487603305785124
嵐 (グループ)||4212||4212||254||254||0.06030389363722697||0.06030389363722697
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
日本航空123便墜落事故||4126||4126||102||102||0.024721279689772176||0.024721279689772176
ドラゴンボールの登場人物||4120||4120||112||112||0.027184466019417475||0.027184466019417475
石原慎太郎||4106||4106||145||145||0.035314174378957626||0.035314174378957626
パネルクイズ アタック25||4100||4100||80||80||0.01951219512195122||0.01951219512195122
