
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4696||4696||194||194||0.04131175468483816||0.04131175468483816
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
舞-乙HiME/log20120619||4066||4066||2||2||4.918839153959665E-4||4.918839153959665E-4
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
笑点/log20110201||3831||3831||10||10||0.0026102845210127902||0.0026102845210127902
仮面ライダーW/log20110201||3809||3809||77||77||0.02021527960094513||0.02021527960094513
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
クイズ!ヘキサゴンII/log20090401||3650||3650||31||31||0.008493150684931507||0.008493150684931507
コードギアス 反逆のルルーシュ/log20080407||3610||3610||21||21||0.005817174515235457||0.005817174515235457
日本/log20090827||3601||3601||74||74||0.02054984726464871||0.02054984726464871
家庭教師ヒットマンREBORN!/log20100415||3591||3591||128||128||0.03564466722361459||0.03564466722361459
プレイステーション3/log20100415||3548||3548||50||50||0.014092446448703494||0.014092446448703494
第二次世界大戦/log20120619||3523||3523||30||30||0.008515469770082317||0.008515469770082317
ネプリーグ/log20091026||3501||3501||10||10||0.0028563267637817767||0.0028563267637817767
涼宮ハルヒシリーズ/log20090701||3492||3492||76||76||0.021764032073310423||0.021764032073310423
エンタの神様/log20091223||3480||3480||28||28||0.008045977011494253||0.008045977011494253
ケロロ軍曹の登場人物一覧/log20090210||3436||3436||5||5||0.0014551804423748546||0.0014551804423748546
森田一義アワー 笑っていいとも!/log20130117||3400||3400||18||18||0.005294117647058823||0.005294117647058823
D.Gray-man||3368||3368||18||18||0.005344418052256532||0.005344418052256532
ミュージックステーション/log20120615||3356||3356||14||14||0.004171632896305125||0.004171632896305125
ゲームセンターCX/history20160321||3343||3343||18||18||0.0053843852826802275||0.0053843852826802275
けいおん!/log20120612||3264||3264||252||252||0.07720588235294118||0.07720588235294118
破面||3255||3255||15||15||0.004608294930875576||0.004608294930875576
ズームイン!!SUPER/log20091228||3247||3247||8||8||0.0024638127502309825||0.0024638127502309825
機動戦士ガンダム00||3236||3236||57||57||0.01761433868974042||0.01761433868974042
BLEACHの登場人物||3234||3234||24||24||0.0074211502782931356||0.0074211502782931356
