
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
メインページ||1567||1567||4||4||0.0025526483726866626||0.0025526483726866626
FNS27時間テレビ||1178||1178||1||1||8.488964346349745E-4||8.488964346349745E-4
2ちゃんねる||800||800||0||0||0.0||0.0
めちゃ×2イケてるッ!||727||727||0||0||0.0||0.0
日本のアナウンサー一覧||704||704||0||0||0.0||0.0
フジテレビジョン||684||684||0||0||0.0||0.0
FNNスーパータイム||678||678||0||0||0.0||0.0
2004年||601||601||0||0||0.0||0.0
アニメ作品一覧||588||588||0||0||0.0||0.0
テレビ朝日||572||572||0||0||0.0||0.0
ナインティナインのオールナイトニッポン||563||563||0||0||0.0||0.0
森田一義アワー 笑っていいとも!/log20130117||562||562||1||1||0.0017793594306049821||0.0017793594306049821
ガンダムシリーズの登場機動兵器一覧||553||553||0||0||0.0||0.0
ドラえもん||547||547||1||1||0.0018281535648994515||0.0018281535648994515
一覧の一覧||545||545||0||0||0.0||0.0
日本テレビ放送網||537||537||0||0||0.0||0.0
日本の漫画作品一覧||510||510||0||0||0.0||0.0
テレビ東京||507||507||0||0||0.0||0.0
日本/log20090827||507||507||3||3||0.005917159763313609||0.005917159763313609
日本の漫画家一覧||504||504||0||0||0.0||0.0
日本の鉄道駅一覧 あ||501||501||1||1||0.001996007984031936||0.001996007984031936
キリスト教用語一覧||481||481||0||0||0.0||0.0
毎日放送||481||481||0||0||0.0||0.0
東京放送ホールディングス||480||480||0||0||0.0||0.0
日本放送協会||477||477||1||1||0.0020964360587002098||0.0020964360587002098
大学一覧||472||472||0||0||0.0||0.0
新潟県中越地震||472||472||1||1||0.00211864406779661||0.00211864406779661
ミュージシャン一覧 (グループ)||471||471||0||0||0.0||0.0
オールナイトニッポン||470||470||0||0||0.0||0.0
同姓同名||462||462||0||0||0.0||0.0
日本の鉄道駅一覧 な||427||427||0||0||0.0||0.0
大韓民国||410||410||2||2||0.004878048780487805||0.004878048780487805
日本の鉄道駅一覧 や-わ行||403||403||0||0||0.0||0.0
暗殺||398||398||0||0||0.0||0.0
日本の鉄道駅一覧||389||389||0||0||0.0||0.0
慶應義塾大学/history20130405||379||379||0||0||0.0||0.0
中部日本放送||376||376||0||0||0.0||0.0
サッカー選手一覧||369||369||0||0||0.0||0.0
日本の鉄道駅一覧 す-そ||362||362||0||0||0.0||0.0
ニッポン放送||360||360||0||0||0.0||0.0
日本の鉄道駅一覧 か||360||360||0||0||0.0||0.0
ミュージシャン一覧 (個人)||356||356||0||0||0.0||0.0
立命館大学||350||350||0||0||0.0||0.0
ポケットモンスター||349||349||0||0||0.0||0.0
プロ野球再編問題 (2004年)||339||339||7||7||0.02064896755162242||0.02064896755162242
朝日放送グループホールディングス||338||338||0||0||0.0||0.0
コンピュータゲームのタイトル一覧||336||336||1||1||0.002976190476190476||0.002976190476190476
東京大学||336||336||0||0||0.0||0.0
日本プロ野球||335||335||0||0||0.0||0.0
JNNニュースの森||334||334||3||3||0.008982035928143712||0.008982035928143712
JNNニュースコープ||331||331||1||1||0.0030211480362537764||0.0030211480362537764
トヨタ自動車||321||321||0||0||0.0||0.0
日本の歴史||319||319||0||0||0.0||0.0
北海道||318||318||1||1||0.0031446540880503146||0.0031446540880503146
ナインティナイン||318||318||0||0||0.0||0.0
小田急小田原線||316||316||2||2||0.006329113924050633||0.006329113924050633
ガンダムシリーズの登場人物一覧||305||305||0||0||0.0||0.0
新聞||301||301||0||0||0.0||0.0
日本テレビ制作局制作番組の分野別一覧||300||300||0||0||0.0||0.0
新幹線||299||299||0||0||0.0||0.0
2004年アテネオリンピック||293||293||3||3||0.010238907849829351||0.010238907849829351
2003年||290||290||0||0||0.0||0.0
野比のび太||283||283||0||0||0.0||0.0
仙台市||283||283||0||0||0.0||0.0
3年B組金八先生)/history20180113||280||280||0||0||0.0||0.0
日本の法学者一覧||276||276||1||1||0.0036231884057971015||0.0036231884057971015
モーニング娘。||275||275||1||1||0.0036363636363636364||0.0036363636363636364
中井正広のブラックバラエティ||274||274||0||0||0.0||0.0
日本の温泉地一覧||273||273||0||0||0.0||0.0
岡村隆史||272||272||0||0||0.0||0.0
麻雀用語一覧||270||270||0||0||0.0||0.0
学校記事一覧||269||269||1||1||0.0037174721189591076||0.0037174721189591076
物理学||268||268||0||0||0.0||0.0
八王子市||264||264||0||0||0.0||0.0
第二次世界大戦/log20120619||264||264||0||0||0.0||0.0
国鉄113系電車||259||259||0||0||0.0||0.0
こちら葛飾区亀有公園前派出所||257||257||0||0||0.0||0.0
東京都||255||255||1||1||0.00392156862745098||0.00392156862745098
日本のテレビ番組一覧||253||253||0||0||0.0||0.0
犬の品種一覧||253||253||0||0||0.0||0.0
おはよう日本||253||253||0||0||0.0||0.0
小説家一覧||252||252||0||0||0.0||0.0
クレヨンしんちゃん||251||251||0||0||0.0||0.0
青森放送/history20180113||250||250||0||0||0.0||0.0
ビートルズ||249||249||0||0||0.0||0.0
日本三大一覧||246||246||0||0||0.0||0.0
FNNスピーク||246||246||1||1||0.0040650406504065045||0.0040650406504065045
発車メロディ||246||246||0||0||0.0||0.0
新潟市||245||245||0||0||0.0||0.0
日本の鉄道駅一覧 ち-て||245||245||0||0||0.0||0.0
日本の郷土料理||244||244||0||0||0.0||0.0
編曲家||243||243||0||0||0.0||0.0
内村プロデュース||243||243||0||0||0.0||0.0
横浜市||243||243||0||0||0.0||0.0
長嶋茂雄||240||240||0||0||0.0||0.0
軍隊の階級||238||238||0||0||0.0||0.0
朝日新聞||238||238||0||0||0.0||0.0
クラシック音楽の作曲家一覧||236||236||0||0||0.0||0.0
朝鮮の歴史||236||236||1||1||0.00423728813559322||0.00423728813559322
京都放送||236||236||0||0||0.0||0.0
北海道放送||236||236||0||0||0.0||0.0
国の一覧||234||234||0||0||0.0||0.0
日本国憲法||234||234||0||0||0.0||0.0
明石家さんま||234||234||1||1||0.004273504273504274||0.004273504273504274
本田技研工業||234||234||0||0||0.0||0.0
キリスト教||233||233||0||0||0.0||0.0
NHKニュース7||233||233||0||0||0.0||0.0
人名一覧||232||232||0||0||0.0||0.0
朝鮮民主主義人民共和国||231||231||1||1||0.004329004329004329||0.004329004329004329
ビートたけし||230||230||0||0||0.0||0.0
京都大学||229||229||0||0||0.0||0.0
アダルトゲーム||228||228||1||1||0.0043859649122807015||0.0043859649122807015
ハロー!プロジェクト||227||227||1||1||0.004405286343612335||0.004405286343612335
生物学に関する記事の一覧||227||227||0||0||0.0||0.0
化学に関する記事の一覧||226||226||0||0||0.0||0.0
カトリシズム||225||225||0||0||0.0||0.0
テレビジョン放送局||225||225||0||0||0.0||0.0
日本の地方公共団体一覧||225||225||0||0||0.0||0.0
週刊少年ジャンプ||224||224||0||0||0.0||0.0
アメリカ合衆国||223||223||1||1||0.004484304932735426||0.004484304932735426
南京事件||223||223||1||1||0.004484304932735426||0.004484304932735426
中華人民共和国||222||222||1||1||0.0045045045045045045||0.0045045045045045045
ズームイン!!SUPER/log20091228||221||221||0||0||0.0||0.0
青森県||221||221||1||1||0.004524886877828055||0.004524886877828055
めざましテレビ/history20190417||220||220||0||0||0.0||0.0
中華民国||220||220||2||2||0.00909090909090909||0.00909090909090909
英語||219||219||0||0||0.0||0.0
ケーブルテレビ局の一覧||215||215||0||0||0.0||0.0
日本のプロ野球選手一覧||214||214||0||0||0.0||0.0
ドイツ||214||214||0||0||0.0||0.0
関西テレビ放送||213||213||0||0||0.0||0.0
ウッチャンナンチャンのウリナリ!!||213||213||0||0||0.0||0.0
銀魂/log20081129||213||213||0||0||0.0||0.0
