
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
イナズマイレブンの登場人物/history20150222||4752||4752||60||60||0.012626262626262626||0.012626262626262626
新日本プロレス/history20160321||4658||4658||32||32||0.006869901245169601||0.006869901245169601
青森放送/history20180113||4647||4647||10||10||0.002151925973746503||0.002151925973746503
ゲームセンターCX/history20160321||4614||4614||28||28||0.006068487212830516||0.006068487212830516
スーパー戦隊シリーズ/history20160321||4591||4591||77||77||0.016771945109997823||0.016771945109997823
AKB48/history20160321||4587||4587||468||468||0.10202746893394375||0.10202746893394375
相棒/history20150820||4577||4577||186||186||0.04063797247105091||0.04063797247105091
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
24時間テレビ 「愛は地球を救う」/history20160321||4527||4527||115||115||0.025403136735144688||0.025403136735144688
アニメ版ポケットモンスターの登場人物/history20160321||4513||4513||59||59||0.013073343673831155||0.013073343673831155
SASUKE/history20180113||4498||4498||43||43||0.009559804357492218||0.009559804357492218
仮面ライダーフォーゼ||4488||4488||94||94||0.02094474153297683||0.02094474153297683
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
名探偵コナンの登場人物/history20180113||4465||4465||127||127||0.028443449048152297||0.028443449048152297
トリコ||4337||4337||109||109||0.02513258012451003||0.02513258012451003
海賊 (ONE PIECE)/history20180113||4257||4257||260||260||0.0610758750293634||0.0610758750293634
ちちんぷいぷい (テレビ番組)/history20180113||4255||4255||41||41||0.00963572267920094||0.00963572267920094
3年B組金八先生)/history20180113||4205||4205||73||73||0.017360285374554103||0.017360285374554103
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
モーニング娘。||4176||4176||141||141||0.033764367816091954||0.033764367816091954
BLEACHの登場人物||4172||4172||56||56||0.013422818791946308||0.013422818791946308
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
情報ライブ ミヤネ屋||4156||4156||55||55||0.013233878729547642||0.013233878729547642
オールスター感謝祭/history20190417||4144||4144||117||117||0.028233590733590733||0.028233590733590733
SMAP||4136||4136||154||154||0.03723404255319149||0.03723404255319149
めざましテレビ/history20190417||4116||4116||56||56||0.013605442176870748||0.013605442176870748
Yes!プリキュア5||4103||4103||90||90||0.021935169388252497||0.021935169388252497
フジテレビジョン||4090||4090||61||61||0.01491442542787286||0.01491442542787286
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
読売ジャイアンツ||4070||4070||64||64||0.015724815724815724||0.015724815724815724
銀魂 (アニメ)||4056||4056||15||15||0.0036982248520710057||0.0036982248520710057
相棒の登場人物/history20190113||4046||4046||97||97||0.02397429560059318||0.02397429560059318
ZIP!/history20181110||4034||4034||70||70||0.017352503718393655||0.017352503718393655
ONE PIECEの登場人物一覧||4023||4023||262||262||0.06512552821277653||0.06512552821277653
阪神タイガース||4021||4021||110||110||0.02735637901019647||0.02735637901019647
仮面ライダー鎧武/ガイム||4013||4013||117||117||0.029155245452280088||0.029155245452280088
銀魂の登場人物一覧||4005||4005||59||59||0.014731585518102372||0.014731585518102372
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
石原慎太郎||3970||3970||127||127||0.03198992443324937||0.03198992443324937
ドラゴンボールの登場人物||3918||3918||87||87||0.0222052067381317||0.0222052067381317
仮面ライダーシリーズ||3905||3905||114||114||0.029193341869398207||0.029193341869398207
テレビ東京||3905||3905||41||41||0.010499359795134442||0.010499359795134442
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
福山潤||3885||3885||139||139||0.03577863577863578||0.03577863577863578
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
パワーパフガールズ||3860||3860||47||47||0.012176165803108808||0.012176165803108808
2015年のテレビ (日本)||3858||3858||23||23||0.0059616381544841885||0.0059616381544841885
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
パネルクイズ アタック25||3829||3829||74||74||0.01932619482893706||0.01932619482893706
ジャニーズJr.||3823||3823||94||94||0.024588019879675647||0.024588019879675647
小沢一郎||3810||3810||144||144||0.03779527559055118||0.03779527559055118
中部国際空港||3808||3808||50||50||0.013130252100840336||0.013130252100840336
NARUTO -ナルト-の登場人物/log20120612||3800||3800||87||87||0.022894736842105263||0.022894736842105263
アンパンマンの登場人物一覧/log20120613||3798||3798||69||69||0.018167456556082148||0.018167456556082148
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
ミュージックステーション/log20120615||3784||3784||15||15||0.003964059196617336||0.003964059196617336
EXILE/log 20120611||3778||3778||54||54||0.014293276866066702||0.014293276866066702
