
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||5009||5009||25||25||0.004991016170892394||0.004991016170892394
仮面ライダー電王/log20080331||4484||4484||26||26||0.005798394290811775||0.005798394290811775
舞-乙HiME/log20120619||4003||4003||0||0||0.0||0.0
銀魂/log20081129||4000||4000||15||15||0.00375||0.00375
BLEACH/log20080419||3876||3876||20||20||0.005159958720330237||0.005159958720330237
銀魂の登場人物一覧/log20080904||3751||3751||3||3||7.997867235403892E-4||7.997867235403892E-4
ONE PIECE/log||3693||3693||29||29||0.00785269428648795||0.00785269428648795
コードギアス 反逆のルルーシュ/log20080407||3609||3609||21||21||0.005818786367414797||0.005818786367414797
日本/log20090827||3436||3436||63||63||0.018335273573923165||0.018335273573923165
ウルトラマンメビウス/log20100825||3418||3418||33||33||0.00965476887068461||0.00965476887068461
ケロロ軍曹の登場人物一覧/log20090210||3396||3396||5||5||0.0014723203769140165||0.0014723203769140165
ネプリーグ/log20091026||3312||3312||8||8||0.0024154589371980675||0.0024154589371980675
クイズ!ヘキサゴンII/log20090401||3183||3183||9||9||0.002827521206409048||0.002827521206409048
D.Gray-man||3155||3155||10||10||0.003169572107765452||0.003169572107765452
涼宮ハルヒシリーズ/log20090701||3111||3111||46||46||0.014786242365798778||0.014786242365798778
エンタの神様/log20091223||3059||3059||16||16||0.005230467473030402||0.005230467473030402
第二次世界大戦/log20120619||3008||3008||14||14||0.004654255319148936||0.004654255319148936
プレイステーション3/log20100415||2972||2972||25||25||0.008411843876177659||0.008411843876177659
ケロロ軍曹||2969||2969||7||7||0.0023576961940047153||0.0023576961940047153
森田一義アワー 笑っていいとも!/log20130117||2916||2916||12||12||0.00411522633744856||0.00411522633744856
ミュージックステーション/log20120615||2877||2877||6||6||0.0020855057351407717||0.0020855057351407717
クレヨンしんちゃん||2827||2827||6||6||0.0021223912274495934||0.0021223912274495934
DEATH NOTEの登場人物||2820||2820||4||4||0.0014184397163120568||0.0014184397163120568
笑点/log20110201||2810||2810||6||6||0.002135231316725979||0.002135231316725979
ドラゴンボールの登場人物||2783||2783||12||12||0.004311893639956881||0.004311893639956881
DEATH NOTE||2773||2773||25||25||0.009015506671474938||0.009015506671474938
広島県出身の人物一覧||2728||2728||1||1||3.6656891495601173E-4||3.6656891495601173E-4
魔人探偵脳噛ネウロ||2708||2708||5||5||0.001846381093057607||0.001846381093057607
アメリカ横断ウルトラクイズ||2704||2704||2||2||7.396449704142012E-4||7.396449704142012E-4
ズームイン!!SUPER/log20091228||2681||2681||3||3||0.0011189854531891085||0.0011189854531891085
NARUTO -ナルト-||2672||2672||18||18||0.006736526946107785||0.006736526946107785
モーニング娘。||2657||2657||17||17||0.00639819345126082||0.00639819345126082
読売ジャイアンツ||2650||2650||13||13||0.004905660377358491||0.004905660377358491
水戸黄門 (パナソニック ドラマシアター)||2632||2632||3||3||0.0011398176291793312||0.0011398176291793312
破面||2605||2605||5||5||0.0019193857965451055||0.0019193857965451055
