
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
クレヨンしんちゃん||1810||1810||0||0||0.0||0.0
2005年||1764||1764||4||4||0.0022675736961451248||0.0022675736961451248
FNS27時間テレビ||1668||1668||1||1||5.995203836930455E-4||5.995203836930455E-4
メインページ||1580||1580||4||4||0.002531645569620253||0.002531645569620253
森田一義アワー 笑っていいとも!/log20130117||1548||1548||3||3||0.001937984496124031||0.001937984496124031
ONE PIECE/log||1370||1370||1||1||7.2992700729927E-4||7.2992700729927E-4
広島県出身の人物一覧||1330||1330||0||0||0.0||0.0
ドラえもん||1270||1270||5||5||0.003937007874015748||0.003937007874015748
BLEACH/log20080419||1258||1258||0||0||0.0||0.0
仙台市||1252||1252||0||0||0.0||0.0
クイズ世界はSHOW by ショーバイ!!||1212||1212||0||0||0.0||0.0
ナインティナインのオールナイトニッポン||1188||1188||1||1||8.417508417508417E-4||8.417508417508417E-4
ミュージックステーション/log20120615||1182||1182||0||0||0.0||0.0
読売ジャイアンツ||1162||1162||0||0||0.0||0.0
FNNスーパータイム||1161||1161||1||1||8.613264427217916E-4||8.613264427217916E-4
日本/log20090827||1151||1151||8||8||0.0069504778453518675||0.0069504778453518675
2ちゃんねる||1138||1138||2||2||0.0017574692442882249||0.0017574692442882249
フジテレビジョン||1131||1131||0||0||0.0||0.0
アイシールド21||1126||1126||2||2||0.0017761989342806395||0.0017761989342806395
めちゃ×2イケてるッ!||1119||1119||2||2||0.0017873100983020554||0.0017873100983020554
アニメ作品一覧||1091||1091||0||0||0.0||0.0
NARUTO -ナルト-||1086||1086||2||2||0.001841620626151013||0.001841620626151013
東京放送ホールディングス||1029||1029||0||0||0.0||0.0
オールナイトニッポン||1021||1021||0||0||0.0||0.0
ガンダムシリーズの登場機動兵器一覧||1012||1012||1||1||9.881422924901185E-4||9.881422924901185E-4
日本テレビ放送網||1003||1003||1||1||9.970089730807576E-4||9.970089730807576E-4
日本放送協会||1000||1000||1||1||0.001||0.001
モーニング娘。||998||998||4||4||0.004008016032064128||0.004008016032064128
大韓民国||988||988||15||15||0.015182186234817813||0.015182186234817813
ボボボーボ・ボーボボ||969||969||1||1||0.0010319917440660474||0.0010319917440660474
毎日放送||964||964||0||0||0.0||0.0
日本の漫画家一覧||960||960||0||0||0.0||0.0
ニッポン放送||946||946||0||0||0.0||0.0
舞-乙HiME/log20120619||942||942||0||0||0.0||0.0
日本の漫画作品一覧||914||914||2||2||0.002188183807439825||0.002188183807439825
同姓同名||913||913||0||0||0.0||0.0
3年B組金八先生)/history20180113||902||902||0||0||0.0||0.0
テレビ東京||887||887||1||1||0.0011273957158962795||0.0011273957158962795
青森放送/history20180113||830||830||0||0||0.0||0.0
こちら葛飾区亀有公園前派出所||826||826||1||1||0.0012106537530266344||0.0012106537530266344
中部日本放送||822||822||0||0||0.0||0.0
テレビ朝日||818||818||0||0||0.0||0.0
日本のアナウンサー一覧||814||814||3||3||0.0036855036855036856||0.0036855036855036856
2004年||809||809||1||1||0.0012360939431396785||0.0012360939431396785
朝日放送グループホールディングス||798||798||0||0||0.0||0.0
中部国際空港||798||798||0||0||0.0||0.0
ミュージシャン一覧 (グループ)||793||793||0||0||0.0||0.0
水曜どうでしょう||791||791||0||0||0.0||0.0
慶應義塾大学/history20130405||782||782||2||2||0.0025575447570332483||0.0025575447570332483
打ち切り||771||771||4||4||0.005188067444876783||0.005188067444876783
日産自動車||768||768||0||0||0.0||0.0
一覧の一覧||765||765||0||0||0.0||0.0
2005年日本国際博覧会||763||763||1||1||0.001310615989515072||0.001310615989515072
ズームイン!!SUPER/log20091228||762||762||0||0||0.0||0.0
笑点/log20110201||752||752||0||0||0.0||0.0
千葉ロッテマリーンズ||750||750||0||0||0.0||0.0
第二次世界大戦/log20120619||740||740||3||3||0.004054054054054054||0.004054054054054054
トヨタ自動車||734||734||0||0||0.0||0.0
ポケットモンスター||729||729||0||0||0.0||0.0
魔法先生ネギま!||723||723||0||0||0.0||0.0
テニスの王子様||720||720||2||2||0.002777777777777778||0.002777777777777778
JR福知山線脱線事故||708||708||0||0||0.0||0.0
立命館大学||699||699||0||0||0.0||0.0
夜のヒットスタジオ||697||697||0||0||0.0||0.0
筋肉番付シリーズ||690||690||0||0||0.0||0.0
阪神タイガース||675||675||0||0||0.0||0.0
L'Arc〜en〜Ciel||672||672||1||1||0.001488095238095238||0.001488095238095238
忍たま乱太郎||664||664||0||0||0.0||0.0
日本三大一覧||651||651||0||0||0.0||0.0
法政大学||647||647||0||0||0.0||0.0
