
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ZIP!/history20181110||5172||5172||103||103||0.01991492652745553||0.01991492652745553
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
名探偵コナンの登場人物/history20180113||4918||4918||159||159||0.03233021553477023||0.03233021553477023
アニメ+/history20190113||4896||4896||22||22||0.004493464052287581||0.004493464052287581
ゲゲゲの鬼太郎の登場キャラクター/history20190113||4892||4892||28||28||0.005723630417007359||0.005723630417007359
ちちんぷいぷい (テレビ番組)/history20180113||4878||4878||51||51||0.010455104551045511||0.010455104551045511
相棒の登場人物/history20190113||4848||4848||107||107||0.02207095709570957||0.02207095709570957
3年B組金八先生)/history20180113||4838||4838||83||83||0.01715584952459694||0.01715584952459694
SASUKE/history20180113||4830||4830||51||51||0.010559006211180125||0.010559006211180125
青森放送/history20180113||4827||4827||17||17||0.0035218562253987984||0.0035218562253987984
海賊 (ONE PIECE)/history20180113||4791||4791||291||291||0.06073888541014402||0.06073888541014402
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
めざましテレビ/history20190417||4781||4781||67||67||0.014013804643380047||0.014013804643380047
オールスター感謝祭/history20190417||4770||4770||134||134||0.028092243186582808||0.028092243186582808
イナズマイレブンの登場人物/history20150222||4752||4752||60||60||0.012626262626262626||0.012626262626262626
ONE PIECEの登場人物一覧||4715||4715||292||292||0.06193001060445387||0.06193001060445387
WWEに所属する人物一覧||4694||4694||14||14||0.002982530890498509||0.002982530890498509
新日本プロレス/history20160321||4658||4658||32||32||0.006869901245169601||0.006869901245169601
仮面ライダーフォーゼ||4645||4645||97||97||0.020882669537136706||0.020882669537136706
SMAP||4635||4635||211||211||0.04552319309600863||0.04552319309600863
情報ライブ ミヤネ屋||4630||4630||60||60||0.012958963282937365||0.012958963282937365
フジテレビジョン||4621||4621||89||89||0.01925990045444709||0.01925990045444709
ゲームセンターCX/history20160321||4614||4614||28||28||0.006068487212830516||0.006068487212830516
スーパー戦隊シリーズ/history20160321||4591||4591||77||77||0.016771945109997823||0.016771945109997823
AKB48/history20160321||4587||4587||468||468||0.10202746893394375||0.10202746893394375
相棒/history20150820||4577||4577||186||186||0.04063797247105091||0.04063797247105091
福山潤||4568||4568||195||195||0.04268826619964974||0.04268826619964974
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
めちゃ×2イケてるッ!||4531||4531||121||121||0.026704921650849704||0.026704921650849704
24時間テレビ 「愛は地球を救う」/history20160321||4527||4527||115||115||0.025403136735144688||0.025403136735144688
アニメ版ポケットモンスターの登場人物/history20160321||4513||4513||59||59||0.013073343673831155||0.013073343673831155
モーニング娘。||4504||4504||153||153||0.03396980461811723||0.03396980461811723
読売ジャイアンツ||4503||4503||120||120||0.02664890073284477||0.02664890073284477
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
銀魂 (アニメ)||4413||4413||23||23||0.005211874008610922||0.005211874008610922
プリキュアシリーズ||4400||4400||210||210||0.04772727272727273||0.04772727272727273
グルメチキンレース・ゴチになります!||4388||4388||62||62||0.014129443938012761||0.014129443938012761
仮面ライダー鎧武/ガイム||4388||4388||157||157||0.03577939835916135||0.03577939835916135
トリコ||4368||4368||109||109||0.024954212454212456||0.024954212454212456
BLEACHの登場人物||4360||4360||59||59||0.01353211009174312||0.01353211009174312
阪神タイガース||4327||4327||134||134||0.03096833834065172||0.03096833834065172
天才てれびくんシリーズのドラマ||4322||4322||85||85||0.01966682091624248||0.01966682091624248
成田国際空港||4320||4320||63||63||0.014583333333333334||0.014583333333333334
安倍晋三||4316||4316||430||430||0.09962928637627433||0.09962928637627433
テレビ東京||4273||4273||93||93||0.02176456821904985||0.02176456821904985
関西国際空港||4261||4261||54||54||0.012673081436282563||0.012673081436282563
龍が如くシリーズの登場人物||4249||4249||32||32||0.007531183807954813||0.007531183807954813
銀魂の登場人物一覧||4246||4246||59||59||0.013895430993876589||0.013895430993876589
ジャニーズJr.||4240||4240||138||138||0.032547169811320754||0.032547169811320754
Yes!プリキュア5||4234||4234||98||98||0.023145961265942372||0.023145961265942372
SKE48||4221||4221||198||198||0.046908315565031986||0.046908315565031986
仮面ライダーシリーズ||4213||4213||147||147||0.034892000949442205||0.034892000949442205
VS嵐||4189||4189||58||58||0.013845786583910242||0.013845786583910242
トヨタ自動車||4182||4182||136||136||0.032520325203252036||0.032520325203252036
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
スーパーJチャンネル||4158||4158||126||126||0.030303030303030304||0.030303030303030304
中部国際空港||4154||4154||57||57||0.0137217140105922||0.0137217140105922
ドラゴンボール||4132||4132||158||158||0.03823814133591481||0.03823814133591481
ドラゴンボールの登場人物||4094||4094||104||104||0.025403028822667317||0.025403028822667317
水樹奈々||4089||4089||191||191||0.046710687209586696||0.046710687209586696
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
石原慎太郎||4084||4084||142||142||0.034769833496571985||0.034769833496571985
SAMURAI BASEBALL||4081||4081||49||49||0.012006861063464836||0.012006861063464836
パネルクイズ アタック25||4058||4058||80||80||0.019714144898965006||0.019714144898965006
新世紀エヴァンゲリオン||4050||4050||129||129||0.03185185185185185||0.03185185185185185
日本航空123便墜落事故||4035||4035||96||96||0.02379182156133829||0.02379182156133829
