
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
イナズマイレブンの登場人物/history20150222||4647||4647||49||49||0.010544437271357865||0.010544437271357865
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
仮面ライダーフォーゼ||4223||4223||83||83||0.01965427421264504||0.01965427421264504
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
ゲームセンターCX/history20160321||4168||4168||26||26||0.006238003838771593||0.006238003838771593
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
トリコ||4027||4027||98||98||0.02433573379687112||0.02433573379687112
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
青森放送/history20180113||3977||3977||2||2||5.028916268544129E-4||5.028916268544129E-4
アニメ版ポケットモンスターの登場人物/history20160321||3975||3975||48||48||0.012075471698113207||0.012075471698113207
相棒/history20150820||3955||3955||165||165||0.041719342604298354||0.041719342604298354
SASUKE/history20180113||3954||3954||31||31||0.00784016186140617||0.00784016186140617
スーパー戦隊シリーズ/history20160321||3939||3939||40||40||0.010154861640010155||0.010154861640010155
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
24時間テレビ 「愛は地球を救う」/history20160321||3856||3856||97||97||0.025155601659751038||0.025155601659751038
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
モーニング娘。||3835||3835||117||117||0.030508474576271188||0.030508474576271188
NARUTO -ナルト-の登場人物/log20120612||3800||3800||87||87||0.022894736842105263||0.022894736842105263
アンパンマンの登場人物一覧/log20120613||3798||3798||69||69||0.018167456556082148||0.018167456556082148
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
ミュージックステーション/log20120615||3784||3784||15||15||0.003964059196617336||0.003964059196617336
EXILE/log 20120611||3778||3778||54||54||0.014293276866066702||0.014293276866066702
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
第二次世界大戦/log20120619||3712||3712||37||37||0.009967672413793104||0.009967672413793104
情報ライブ ミヤネ屋||3703||3703||48||48||0.01296246286794491||0.01296246286794491
BLEACHの登場人物||3697||3697||36||36||0.009737625101433596||0.009737625101433596
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
新日本プロレス/history20160321||3667||3667||12||12||0.00327242977911099||0.00327242977911099
クイズ!ヘキサゴンII/log20090401||3650||3650||31||31||0.008493150684931507||0.008493150684931507
機動戦士ガンダム00||3612||3612||74||74||0.020487264673311186||0.020487264673311186
コードギアス 反逆のルルーシュ/log20080407||3610||3610||21||21||0.005817174515235457||0.005817174515235457
日本/log20090827||3601||3601||74||74||0.02054984726464871||0.02054984726464871
家庭教師ヒットマンREBORN!/log20100415||3591||3591||128||128||0.03564466722361459||0.03564466722361459
テニスの王子様の登場人物/log20120614||3586||3586||11||11||0.003067484662576687||0.003067484662576687
ナインティナインのオールナイトニッポン||3586||3586||25||25||0.006971556051310652||0.006971556051310652
小沢一郎||3585||3585||118||118||0.03291492329149233||0.03291492329149233
阪神タイガース||3584||3584||76||76||0.021205357142857144||0.021205357142857144
銀魂 (アニメ)||3555||3555||13||13||0.0036568213783403658||0.0036568213783403658
石原慎太郎||3549||3549||100||100||0.02817695125387433||0.02817695125387433
プレイステーション3/log20100415||3548||3548||50||50||0.014092446448703494||0.014092446448703494
仮面ライダーオーズ/OOO/log20120616||3547||3547||81||81||0.022836199605300252||0.022836199605300252
Yes!プリキュア5||3526||3526||73||73||0.020703346568349403||0.020703346568349403
ドラゴンボールの登場人物||3523||3523||67||67||0.019017882486517174||0.019017882486517174
テレビ神奈川||3516||3516||16||16||0.004550625711035267||0.004550625711035267
ネプリーグ/log20091026||3501||3501||10||10||0.0028563267637817767||0.0028563267637817767
3年B組金八先生)/history20180113||3498||3498||66||66||0.018867924528301886||0.018867924528301886
太鼓の達人||3495||3495||71||71||0.020314735336194562||0.020314735336194562
涼宮ハルヒシリーズ/log20090701||3492||3492||76||76||0.021764032073310423||0.021764032073310423
読売ジャイアンツ||3491||3491||30||30||0.00859352621025494||0.00859352621025494
D.Gray-man||3486||3486||20||20||0.005737234652897304||0.005737234652897304
エンタの神様/log20091223||3480||3480||28||28||0.008045977011494253||0.008045977011494253
ちちんぷいぷい (テレビ番組)/history20180113||3459||3459||12||12||0.003469210754553339||0.003469210754553339
