
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||4858||4858||25||25||0.00514615067929189||0.00514615067929189
仮面ライダー電王/log20080331||4075||4075||21||21||0.0051533742331288344||0.0051533742331288344
舞-乙HiME/log20120619||3946||3946||0||0||0.0||0.0
BLEACH/log20080419||3696||3696||18||18||0.00487012987012987||0.00487012987012987
銀魂/log20081129||3661||3661||8||8||0.002185195301830101||0.002185195301830101
ONE PIECE/log||3606||3606||29||29||0.008042151968940654||0.008042151968940654
コードギアス 反逆のルルーシュ/log20080407||3351||3351||19||19||0.005669949268874963||0.005669949268874963
銀魂の登場人物一覧/log20080904||3210||3210||2||2||6.230529595015577E-4||6.230529595015577E-4
ウルトラマンメビウス/log20100825||3136||3136||32||32||0.01020408163265306||0.01020408163265306
ネプリーグ/log20091026||2956||2956||6||6||0.0020297699594046007||0.0020297699594046007
ケロロ軍曹の登場人物一覧/log20090210||2918||2918||5||5||0.0017135023989033585||0.0017135023989033585
ケロロ軍曹||2880||2880||6||6||0.0020833333333333333||0.0020833333333333333
第二次世界大戦/log20120619||2704||2704||14||14||0.005177514792899409||0.005177514792899409
D.Gray-man||2698||2698||6||6||0.002223869532987398||0.002223869532987398
森田一義アワー 笑っていいとも!/log20130117||2670||2670||12||12||0.0044943820224719105||0.0044943820224719105
ミュージックステーション/log20120615||2641||2641||5||5||0.001893222264293828||0.001893222264293828
クレヨンしんちゃん||2627||2627||6||6||0.0022839741149600305||0.0022839741149600305
NARUTO -ナルト-||2584||2584||18||18||0.00696594427244582||0.00696594427244582
DEATH NOTEの登場人物||2559||2559||4||4||0.0015631105900742479||0.0015631105900742479
涼宮ハルヒシリーズ/log20090701||2537||2537||29||29||0.011430823807646828||0.011430823807646828
DEATH NOTE||2520||2520||21||21||0.008333333333333333||0.008333333333333333
笑点/log20110201||2511||2511||5||5||0.001991238550378335||0.001991238550378335
日本/log20090827||2507||2507||49||49||0.01954527323494216||0.01954527323494216
2006年||2491||2491||27||27||0.010839020473705338||0.010839020473705338
モーニング娘。||2466||2466||15||15||0.006082725060827251||0.006082725060827251
アメリカ横断ウルトラクイズ||2465||2465||2||2||8.113590263691683E-4||8.113590263691683E-4
広島県出身の人物一覧||2460||2460||0||0||0.0||0.0
読売ジャイアンツ||2454||2454||9||9||0.003667481662591687||0.003667481662591687
らき☆すた||2397||2397||21||21||0.008760951188986232||0.008760951188986232
轟轟戦隊ボウケンジャー||2390||2390||12||12||0.00502092050209205||0.00502092050209205
キン肉マンの登場人物||2370||2370||6||6||0.002531645569620253||0.002531645569620253
クイズ!ヘキサゴンII/log20090401||2369||2369||5||5||0.002110595187842972||0.002110595187842972
獣拳戦隊ゲキレンジャー||2365||2365||21||21||0.008879492600422832||0.008879492600422832
破面||2344||2344||2||2||8.532423208191126E-4||8.532423208191126E-4
魔人探偵脳噛ネウロ||2343||2343||3||3||0.0012804097311139564||0.0012804097311139564
ドラえもん||2328||2328||24||24||0.010309278350515464||0.010309278350515464
ローゼンメイデン/history 20130917||2322||2322||26||26||0.01119724375538329||0.01119724375538329
ドラゴンボールの登場人物||2308||2308||5||5||0.002166377816291161||0.002166377816291161
BLEACHの登場人物||2293||2293||5||5||0.002180549498473615||0.002180549498473615
B'z||2290||2290||36||36||0.01572052401746725||0.01572052401746725
クイズ世界はSHOW by ショーバイ!!||2238||2238||3||3||0.0013404825737265416||0.0013404825737265416
プレイステーション3/log20100415||2227||2227||21||21||0.009429726088908847||0.009429726088908847
ナインティナインのオールナイトニッポン||2187||2187||5||5||0.002286236854138089||0.002286236854138089
2005年||2185||2185||6||6||0.002745995423340961||0.002745995423340961
アイシールド21||2176||2176||7||7||0.003216911764705882||0.003216911764705882
NARUTO -ナルト-の登場人物/log20120612||2149||2149||19||19||0.008841321544904607||0.008841321544904607
ズームイン!!SUPER/log20091228||2148||2148||1||1||4.655493482309125E-4||4.655493482309125E-4
めちゃ×2イケてるッ!||2143||2143||5||5||0.0023331777881474567||0.0023331777881474567
仙台市||2133||2133||14||14||0.006563525550867323||0.006563525550867323
ジャニーズJr.||2132||2132||10||10||0.004690431519699813||0.004690431519699813
FNS27時間テレビ||2116||2116||2||2||9.45179584120983E-4||9.45179584120983E-4
金色のガッシュ!!の登場人物||2093||2093||3||3||0.001433349259436216||0.001433349259436216
ゲームセンターCX/history20160321||2076||2076||7||7||0.003371868978805395||0.003371868978805395
水曜どうでしょう||2067||2067||2||2||9.675858732462506E-4||9.675858732462506E-4
国鉄103系電車||2045||2045||10||10||0.004889975550122249||0.004889975550122249
そこまで言って委員会NP||2041||2041||6||6||0.002939735423811857||0.002939735423811857
トヨタ自動車||2037||2037||19||19||0.009327442317133039||0.009327442317133039
毎日放送||2029||2029||4||4||0.001971414489896501||0.001971414489896501
仮面ライダーカブト||2005||2005||7||7||0.003491271820448878||0.003491271820448878
エンタの神様/log20091223||1994||1994||16||16||0.00802407221664995||0.00802407221664995
UHFアニメ||1991||1991||6||6||0.0030135610246107484||0.0030135610246107484
青森放送/history20180113||1986||1986||0||0||0.0||0.0
2007年||1979||1979||20||20||0.01010611419909045||0.01010611419909045
阪神タイガース||1973||1973||9||9||0.00456158134820071||0.00456158134820071
水戸黄門 (パナソニック ドラマシアター)||1963||1963||2||2||0.0010188487009679063||0.0010188487009679063
東京放送ホールディングス||1957||1957||15||15||0.007664793050587634||0.007664793050587634
石原慎太郎||1940||1940||35||35||0.01804123711340206||0.01804123711340206
日本の漫画家一覧||1924||1924||0||0||0.0||0.0
国鉄485系電車||1918||1918||3||3||0.0015641293013555788||0.0015641293013555788
錦戸亮||1902||1902||6||6||0.0031545741324921135||0.0031545741324921135
ちちんぷいぷい (テレビ番組)/history20180113||1900||1900||2||2||0.0010526315789473684||0.0010526315789473684
3年B組金八先生)/history20180113||1899||1899||4||4||0.00210637177461822||0.00210637177461822
デジモン一覧||1899||1899||4||4||0.00210637177461822||0.00210637177461822
テニスの王子様の登場人物/log20120614||1896||1896||2||2||0.0010548523206751054||0.0010548523206751054
フジテレビジョン||1894||1894||1||1||5.279831045406547E-4||5.279831045406547E-4
KAT-TUN||1884||1884||29||29||0.015392781316348195||0.015392781316348195
新世紀エヴァンゲリオン||1880||1880||12||12||0.006382978723404255||0.006382978723404255
北海道放送||1878||1878||1||1||5.324813631522897E-4||5.324813631522897E-4
鉄道事故||1868||1868||14||14||0.007494646680942184||0.007494646680942184
テレビ東京||1860||1860||3||3||0.0016129032258064516||0.0016129032258064516
愛知県出身の人物一覧||1857||1857||8||8||0.004308023694130318||0.004308023694130318
トリビアの泉 〜素晴らしきムダ知識〜||1845||1845||6||6||0.0032520325203252032||0.0032520325203252032
中部日本放送||1833||1833||2||2||0.0010911074740861974||0.0010911074740861974
遊☆戯☆王デュエルモンスターズGXの登場人物||1819||1819||3||3||0.0016492578339747114||0.0016492578339747114
武装錬金||1813||1813||1||1||5.515719801434088E-4||5.515719801434088E-4
古畑任三郎||1802||1802||8||8||0.004439511653718091||0.004439511653718091
ジャニーズ事務所||1798||1798||15||15||0.008342602892102336||0.008342602892102336
テレビ神奈川||1794||1794||8||8||0.004459308807134894||0.004459308807134894
静岡市||1791||1791||4||4||0.002233389168062535||0.002233389168062535
東京大学の人物一覧||1789||1789||2||2||0.0011179429849077697||0.0011179429849077697
ドラゴンボール||1787||1787||21||21||0.011751538891997761||0.011751538891997761
鋼の錬金術師の登場人物一覧/history 20120609||1782||1782||5||5||0.0028058361391694723||0.0028058361391694723
都市伝説||1779||1779||10||10||0.005621135469364812||0.005621135469364812
名探偵コナンの登場人物/history20180113||1768||1768||14||14||0.007918552036199095||0.007918552036199095
アニメ作品一覧||1766||1766||1||1||5.662514156285391E-4||5.662514156285391E-4
日本放送協会||1761||1761||4||4||0.002271436683702442||0.002271436683702442
ハヤテのごとく!の登場人物||1756||1756||7||7||0.003986332574031891||0.003986332574031891
ドラえもん (1979年のテレビアニメ)||1753||1753||10||10||0.005704506560182544||0.005704506560182544
BUMP OF CHICKEN||1736||1736||21||21||0.012096774193548387||0.012096774193548387
日本テレビ放送網||1714||1714||2||2||0.0011668611435239206||0.0011668611435239206
大韓民国||1714||1714||33||33||0.019253208868144692||0.019253208868144692
小沢一郎||1704||1704||11||11||0.006455399061032864||0.006455399061032864
週刊少年ジャンプ||1702||1702||11||11||0.006462984723854289||0.006462984723854289
オールナイトニッポン||1694||1694||2||2||0.0011806375442739079||0.0011806375442739079
浦和レッドダイヤモンズ||1680||1680||4||4||0.002380952380952381||0.002380952380952381
明石家さんま||1668||1668||8||8||0.004796163069544364||0.004796163069544364
ボボボーボ・ボーボボ||1661||1661||7||7||0.004214328717639976||0.004214328717639976
スーパー戦隊シリーズ/history20160321||1659||1659||3||3||0.0018083182640144665||0.0018083182640144665
福山市||1658||1658||0||0||0.0||0.0
朝日放送グループホールディングス||1654||1654||7||7||0.004232164449818622||0.004232164449818622
こちら葛飾区亀有公園前派出所||1653||1653||5||5||0.0030248033877797943||0.0030248033877797943
テニスの王子様||1653||1653||10||10||0.006049606775559589||0.006049606775559589
はねるのトびら||1638||1638||3||3||0.0018315018315018315||0.0018315018315018315
SMAP||1631||1631||8||8||0.004904966278356836||0.004904966278356836
バンプレストオリジナルのキャラクター一覧||1630||1630||1||1||6.134969325153375E-4||6.134969325153375E-4
東京都立日比谷高等学校||1624||1624||2||2||0.0012315270935960591||0.0012315270935960591
日産自動車||1609||1609||9||9||0.005593536357986327||0.005593536357986327
GTO (漫画)||1607||1607||2||2||0.0012445550715619166||0.0012445550715619166
新宿駅||1606||1606||11||11||0.00684931506849315||0.00684931506849315
2ちゃんねる||1601||1601||9||9||0.005621486570893191||0.005621486570893191
メインページ||1598||1598||4||4||0.0025031289111389237||0.0025031289111389237
灼眼のシャナ||1581||1581||12||12||0.007590132827324478||0.007590132827324478
中部国際空港||1571||1571||9||9||0.005728835136855506||0.005728835136855506
東京大学||1569||1569||17||17||0.010834926704907584||0.010834926704907584
ハヤテのごとく!||1567||1567||7||7||0.004467134652201659||0.004467134652201659
ガンダムシリーズの登場機動兵器一覧||1562||1562||2||2||0.0012804097311139564||0.0012804097311139564
浜松市||1562||1562||5||5||0.003201024327784891||0.003201024327784891
ウエンツ瑛士||1551||1551||1||1||6.447453255963894E-4||6.447453255963894E-4
天元突破グレンラガン||1548||1548||9||9||0.005813953488372093||0.005813953488372093
日本共産党||1543||1543||7||7||0.004536616979909268||0.004536616979909268
岡田有希子||1543||1543||14||14||0.009073233959818535||0.009073233959818535
逆転裁判||1540||1540||13||13||0.008441558441558441||0.008441558441558441
