
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
イナズマイレブンの登場人物/history20150222||4751||4751||60||60||0.012628920227320563||0.012628920227320563
相棒/history20150820||4575||4575||186||186||0.04065573770491803||0.04065573770491803
ゲームセンターCX/history20160321||4573||4573||28||28||0.006122895254756178||0.006122895254756178
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
スーパー戦隊シリーズ/history20160321||4522||4522||72||72||0.01592215833701902||0.01592215833701902
24時間テレビ 「愛は地球を救う」/history20160321||4494||4494||114||114||0.025367156208277702||0.025367156208277702
AKB48/history20160321||4490||4490||459||459||0.1022271714922049||0.1022271714922049
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
新日本プロレス/history20160321||4477||4477||26||26||0.005807460352914898||0.005807460352914898
アニメ版ポケットモンスターの登場人物/history20160321||4442||4442||59||59||0.013282305267897344||0.013282305267897344
仮面ライダーフォーゼ||4404||4404||89||89||0.020208900999091735||0.020208900999091735
青森放送/history20180113||4369||4369||9||9||0.002059967956054017||0.002059967956054017
SASUKE/history20180113||4286||4286||36||36||0.008399440037330844||0.008399440037330844
トリコ||4261||4261||108||108||0.025346162872565126||0.025346162872565126
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
BLEACHの登場人物||4071||4071||49||49||0.01203635470400393||0.01203635470400393
モーニング娘。||4063||4063||137||137||0.03371892690130446||0.03371892690130446
ちちんぷいぷい (テレビ番組)/history20180113||4002||4002||33||33||0.008245877061469266||0.008245877061469266
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
情報ライブ ミヤネ屋||3983||3983||51||51||0.012804418779814211||0.012804418779814211
Yes!プリキュア5||3979||3979||86||86||0.021613470721286755||0.021613470721286755
オールスター感謝祭/history20190417||3976||3976||108||108||0.02716297786720322||0.02716297786720322
名探偵コナンの登場人物/history20180113||3964||3964||95||95||0.0239656912209889||0.0239656912209889
読売ジャイアンツ||3922||3922||52||52||0.013258541560428353||0.013258541560428353
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
銀魂 (アニメ)||3888||3888||14||14||0.00360082304526749||0.00360082304526749
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
阪神タイガース||3874||3874||103||103||0.026587506453278266||0.026587506453278266
石原慎太郎||3860||3860||117||117||0.030310880829015546||0.030310880829015546
銀魂の登場人物一覧||3858||3858||54||54||0.013996889580093312||0.013996889580093312
フジテレビジョン||3854||3854||57||57||0.014789828749351324||0.014789828749351324
ドラゴンボールの登場人物||3846||3846||84||84||0.0218408736349454||0.0218408736349454
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
海賊 (ONE PIECE)/history20180113||3841||3841||245||245||0.06378547253319448||0.06378547253319448
仮面ライダー鎧武/ガイム||3817||3817||96||96||0.02515064186533927||0.02515064186533927
パワーパフガールズ||3807||3807||47||47||0.012345679012345678||0.012345679012345678
NARUTO -ナルト-の登場人物/log20120612||3800||3800||87||87||0.022894736842105263||0.022894736842105263
アンパンマンの登場人物一覧/log20120613||3798||3798||69||69||0.018167456556082148||0.018167456556082148
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
ミュージックステーション/log20120615||3784||3784||15||15||0.003964059196617336||0.003964059196617336
EXILE/log 20120611||3778||3778||54||54||0.014293276866066702||0.014293276866066702
2015年のテレビ (日本)||3776||3776||22||22||0.005826271186440678||0.005826271186440678
仮面ライダーシリーズ||3752||3752||95||95||0.025319829424307036||0.025319829424307036
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
小沢一郎||3750||3750||137||137||0.036533333333333334||0.036533333333333334
ナインティナインのオールナイトニッポン||3740||3740||26||26||0.006951871657754011||0.006951871657754011
奥州市||3736||3736||11||11||0.0029443254817987153||0.0029443254817987153
3年B組金八先生)/history20180113||3734||3734||67||67||0.017943224424209963||0.017943224424209963
パネルクイズ アタック25||3714||3714||72||72||0.01938610662358643||0.01938610662358643
第二次世界大戦/log20120619||3712||3712||37||37||0.009967672413793104||0.009967672413793104
太鼓の達人||3695||3695||73||73||0.019756427604871448||0.019756427604871448
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
テレビ神奈川||3693||3693||17||17||0.004603303547251557||0.004603303547251557
新世紀エヴァンゲリオン||3681||3681||80||80||0.021733224667209998||0.021733224667209998
