
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
森田一義アワー 笑っていいとも!/log20130117||4163||4163||45||45||0.01080951237088638||0.01080951237088638
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
仮面ライダーフォーゼ||3967||3967||76||76||0.019158053945046636||0.019158053945046636
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
イナズマイレブンの登場人物/history20150222||3884||3884||46||46||0.01184346035015448||0.01184346035015448
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
NARUTO -ナルト-の登場人物/log20120612||3800||3800||87||87||0.022894736842105263||0.022894736842105263
アンパンマンの登場人物一覧/log20120613||3798||3798||69||69||0.018167456556082148||0.018167456556082148
SASUKE/history20180113||3796||3796||31||31||0.008166491043203371||0.008166491043203371
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
ミュージックステーション/log20120615||3784||3784||15||15||0.003964059196617336||0.003964059196617336
EXILE/log 20120611||3778||3778||54||54||0.014293276866066702||0.014293276866066702
ゲームセンターCX/history20160321||3766||3766||25||25||0.006638343069569836||0.006638343069569836
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
青森放送/history20180113||3746||3746||2||2||5.339028296849973E-4||5.339028296849973E-4
第二次世界大戦/log20120619||3712||3712||37||37||0.009967672413793104||0.009967672413793104
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
アニメ版ポケットモンスターの登場人物/history20160321||3676||3676||46||46||0.012513601741022852||0.012513601741022852
クイズ!ヘキサゴンII/log20090401||3650||3650||31||31||0.008493150684931507||0.008493150684931507
モーニング娘。||3647||3647||99||99||0.027145599122566495||0.027145599122566495
スーパー戦隊シリーズ/history20160321||3619||3619||27||27||0.007460624481901078||0.007460624481901078
コードギアス 反逆のルルーシュ/log20080407||3610||3610||21||21||0.005817174515235457||0.005817174515235457
日本/log20090827||3601||3601||74||74||0.02054984726464871||0.02054984726464871
24時間テレビ 「愛は地球を救う」/history20160321||3600||3600||92||92||0.025555555555555557||0.025555555555555557
家庭教師ヒットマンREBORN!/log20100415||3591||3591||128||128||0.03564466722361459||0.03564466722361459
テニスの王子様の登場人物/log20120614||3586||3586||11||11||0.003067484662576687||0.003067484662576687
情報ライブ ミヤネ屋||3581||3581||47||47||0.01312482546774644||0.01312482546774644
相棒/history20150820||3579||3579||123||123||0.03436714165968147||0.03436714165968147
トリコ||3577||3577||90||90||0.02516074923119933||0.02516074923119933
プレイステーション3/log20100415||3548||3548||50||50||0.014092446448703494||0.014092446448703494
機動戦士ガンダム00||3548||3548||68||68||0.019165727170236752||0.019165727170236752
仮面ライダーオーズ/OOO/log20120616||3547||3547||81||81||0.022836199605300252||0.022836199605300252
BLEACHの登場人物||3535||3535||29||29||0.008203677510608205||0.008203677510608205
ネプリーグ/log20091026||3501||3501||10||10||0.0028563267637817767||0.0028563267637817767
ナインティナインのオールナイトニッポン||3492||3492||21||21||0.006013745704467354||0.006013745704467354
涼宮ハルヒシリーズ/log20090701||3492||3492||76||76||0.021764032073310423||0.021764032073310423
エンタの神様/log20091223||3480||3480||28||28||0.008045977011494253||0.008045977011494253
D.Gray-man||3455||3455||20||20||0.005788712011577424||0.005788712011577424
小沢一郎||3454||3454||116||116||0.0335842501447597||0.0335842501447597
テレビ神奈川||3445||3445||16||16||0.0046444121915820025||0.0046444121915820025
ケロロ軍曹の登場人物一覧/log20090210||3436||3436||5||5||0.0014551804423748546||0.0014551804423748546
石原慎太郎||3404||3404||96||96||0.0282021151586369||0.0282021151586369
ドラゴンボールの登場人物||3393||3393||54||54||0.015915119363395226||0.015915119363395226
阪神タイガース||3388||3388||61||61||0.018004722550177096||0.018004722550177096
破面||3374||3374||16||16||0.004742145820983995||0.004742145820983995
読売ジャイアンツ||3355||3355||24||24||0.007153502235469449||0.007153502235469449
Yes!プリキュア5||3348||3348||70||70||0.02090800477897252||0.02090800477897252
銀魂 (アニメ)||3325||3325||8||8||0.002406015037593985||0.002406015037593985
広島県出身の人物一覧||3309||3309||3||3||9.066183136899365E-4||9.066183136899365E-4
3年B組金八先生)/history20180113||3308||3308||64||64||0.019347037484885126||0.019347037484885126
