
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
日産自動車||1336||1336||8||8||0.005988023952095809||0.005988023952095809
ボボボーボ・ボーボボ||1331||1331||6||6||0.004507888805409466||0.004507888805409466
魔法戦隊マジレンジャー||1317||1317||1||1||7.593014426727411E-4||7.593014426727411E-4
ゲームセンターCX/history20160321||1314||1314||5||5||0.00380517503805175||0.00380517503805175
バンプレストオリジナル||1308||1308||1||1||7.645259938837921E-4||7.645259938837921E-4
2ちゃんねる||1307||1307||4||4||0.00306044376434583||0.00306044376434583
中部国際空港||1295||1295||3||3||0.0023166023166023165||0.0023166023166023165
金色のガッシュ!!の登場人物||1290||1290||2||2||0.0015503875968992248||0.0015503875968992248
KAT-TUN||1271||1271||25||25||0.01966955153422502||0.01966955153422502
ドラゴンボール||1267||1267||5||5||0.003946329913180742||0.003946329913180742
岡田有希子||1263||1263||8||8||0.006334125098970704||0.006334125098970704
ニッポン放送||1261||1261||1||1||7.930214115781126E-4||7.930214115781126E-4
ニート||1260||1260||4||4||0.0031746031746031746||0.0031746031746031746
週刊少年ジャンプ||1259||1259||6||6||0.004765687053216839||0.004765687053216839
東京大学||1249||1249||7||7||0.005604483586869495||0.005604483586869495
ジャニーズJr.||1244||1244||2||2||0.001607717041800643||0.001607717041800643
ドラえもん (1979年のテレビアニメ)||1241||1241||6||6||0.004834810636583401||0.004834810636583401
明石家さんま||1229||1229||2||2||0.0016273393002441008||0.0016273393002441008
NARUTO -ナルト-の登場人物/log20120612||1225||1225||7||7||0.005714285714285714||0.005714285714285714
はねるのトびら||1223||1223||1||1||8.176614881439084E-4||8.176614881439084E-4
筋肉番付シリーズ||1222||1222||1||1||8.183306055646482E-4||8.183306055646482E-4
3年B組金八先生)/history20180113||1216||1216||2||2||0.001644736842105263||0.001644736842105263
北斗の拳||1202||1202||2||2||0.0016638935108153079||0.0016638935108153079
武装錬金||1185||1185||1||1||8.438818565400844E-4||8.438818565400844E-4
新世紀エヴァンゲリオン||1184||1184||6||6||0.005067567567567568||0.005067567567567568
水曜どうでしょうの企画||1183||1183||0||0||0.0||0.0
アメリカ横断ウルトラクイズ||1166||1166||1||1||8.576329331046312E-4||8.576329331046312E-4
ポケットモンスター||1160||1160||12||12||0.010344827586206896||0.010344827586206896
るろうに剣心 -明治剣客浪漫譚-||1158||1158||6||6||0.0051813471502590676||0.0051813471502590676
踊る大捜査線||1141||1141||0||0||0.0||0.0
小沢一郎||1141||1141||4||4||0.0035056967572304996||0.0035056967572304996
東京駅||1139||1139||3||3||0.0026338893766461808||0.0026338893766461808
ハヤテのごとく!||1129||1129||2||2||0.001771479185119575||0.001771479185119575
千葉ロッテマリーンズ||1126||1126||8||8||0.007104795737122558||0.007104795737122558
そこまで言って委員会NP||1120||1120||2||2||0.0017857142857142857||0.0017857142857142857
BUMP OF CHICKEN||1114||1114||7||7||0.0062836624775583485||0.0062836624775583485
みんなが出るテレビ||1113||1113||4||4||0.0035938903863432167||0.0035938903863432167
サザンオールスターズ||1103||1103||5||5||0.004533091568449683||0.004533091568449683
UHFアニメ||1101||1101||4||4||0.0036330608537693005||0.0036330608537693005
新宿駅||1098||1098||8||8||0.007285974499089253||0.007285974499089253
萌え||1097||1097||19||19||0.01731996353691887||0.01731996353691887
浦和レッドダイヤモンズ||1094||1094||3||3||0.002742230347349177||0.002742230347349177
ウエンツ瑛士||1089||1089||1||1||9.182736455463728E-4||9.182736455463728E-4
PlayStation Portable||1087||1087||15||15||0.013799448022079117||0.013799448022079117
ルパン三世||1086||1086||4||4||0.003683241252302026||0.003683241252302026
日本のアナウンサー一覧||1082||1082||3||3||0.0027726432532347504||0.0027726432532347504
ジャニーズ事務所||1077||1077||11||11||0.01021355617455896||0.01021355617455896
クイズダービー||1071||1071||0||0||0.0||0.0
SMAP||1068||1068||4||4||0.003745318352059925||0.003745318352059925
あぶない刑事||1067||1067||2||2||0.0018744142455482662||0.0018744142455482662
GLAY||1058||1058||13||13||0.012287334593572778||0.012287334593572778
浜松市||1058||1058||1||1||9.45179584120983E-4||9.45179584120983E-4
エンタの神様/log20091223||1056||1056||14||14||0.013257575757575758||0.013257575757575758
ラグナロクオンライン||1056||1056||0||0||0.0||0.0
慶應義塾大学/history20130405||1049||1049||16||16||0.015252621544327931||0.015252621544327931
マイケル・ジャクソン||1049||1049||3||3||0.002859866539561487||0.002859866539561487
テレビ朝日||1048||1048||5||5||0.004770992366412214||0.004770992366412214
プレイステーション3/log20100415||1045||1045||17||17||0.016267942583732056||0.016267942583732056
ダウンタウンのガキの使いやあらへんで!||1044||1044||1||1||9.578544061302681E-4||9.578544061302681E-4
一覧の一覧||1031||1031||2||2||0.0019398642095053346||0.0019398642095053346
スーパー戦隊シリーズ/history20160321||1029||1029||2||2||0.001943634596695821||0.001943634596695821
新潟市||1026||1026||4||4||0.003898635477582846||0.003898635477582846
