
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
舞-乙HiME/log20120619||4080||4080||2||2||4.901960784313725E-4||4.901960784313725E-4
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
けいおん!/log20120612||3930||3930||300||300||0.07633587786259542||0.07633587786259542
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
海賊戦隊ゴーカイジャー/log20120602||3829||3829||137||137||0.03577957691303212||0.03577957691303212
森田一義アワー 笑っていいとも!/log20130117||3794||3794||24||24||0.0063257775434897206||0.0063257775434897206
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
第二次世界大戦/log20120619||3679||3679||34||34||0.009241641750475673||0.009241641750475673
SASUKE/history20180113||3671||3671||28||28||0.007627349496050122||0.007627349496050122
クイズ!ヘキサゴンII/log20090401||3650||3650||31||31||0.008493150684931507||0.008493150684931507
NARUTO -ナルト-の登場人物/log20120612||3649||3649||80||80||0.021923814743765414||0.021923814743765414
ミュージックステーション/log20120615||3638||3638||14||14||0.0038482682792743265||0.0038482682792743265
アンパンマンの登場人物一覧/log20120613||3621||3621||56||56||0.015465341066003866||0.015465341066003866
コードギアス 反逆のルルーシュ/log20080407||3610||3610||21||21||0.005817174515235457||0.005817174515235457
日本/log20090827||3601||3601||74||74||0.02054984726464871||0.02054984726464871
家庭教師ヒットマンREBORN!/log20100415||3591||3591||128||128||0.03564466722361459||0.03564466722361459
プレイステーション3/log20100415||3548||3548||50||50||0.014092446448703494||0.014092446448703494
ゲームセンターCX/history20160321||3530||3530||21||21||0.00594900849858357||0.00594900849858357
青森放送/history20180113||3513||3513||0||0||0.0||0.0
ネプリーグ/log20091026||3501||3501||10||10||0.0028563267637817767||0.0028563267637817767
涼宮ハルヒシリーズ/log20090701||3492||3492||76||76||0.021764032073310423||0.021764032073310423
エンタの神様/log20091223||3480||3480||28||28||0.008045977011494253||0.008045977011494253
機動戦士ガンダム00||3443||3443||62||62||0.018007551553877434||0.018007551553877434
ケロロ軍曹の登場人物一覧/log20090210||3436||3436||5||5||0.0014551804423748546||0.0014551804423748546
モーニング娘。||3436||3436||85||85||0.024738067520372525||0.024738067520372525
テニスの王子様の登場人物/log20120614||3421||3421||8||8||0.00233849751534639||0.00233849751534639
D.Gray-man||3419||3419||19||19||0.005557180462123428||0.005557180462123428
BLEACHの登場人物||3407||3407||29||29||0.008511887290871734||0.008511887290871734
EXILE/log 20120611||3404||3404||45||45||0.013219741480611046||0.013219741480611046
ナインティナインのオールナイトニッポン||3379||3379||21||21||0.006214856466410181||0.006214856466410181
仮面ライダーオーズ/OOO/log20120616||3358||3358||77||77||0.022930315664085765||0.022930315664085765
破面||3339||3339||15||15||0.004492362982929021||0.004492362982929021
情報ライブ ミヤネ屋||3314||3314||39||39||0.011768255884127943||0.011768255884127943
ドラゴンボールの登場人物||3313||3313||48||48||0.01448837911258678||0.01448837911258678
スーパー戦隊シリーズ/history20160321||3259||3259||24||24||0.00736422215403498||0.00736422215403498
ズームイン!!SUPER/log20091228||3247||3247||8||8||0.0024638127502309825||0.0024638127502309825
アニメ版ポケットモンスターの登場人物/history20160321||3244||3244||32||32||0.009864364981504316||0.009864364981504316
Yes!プリキュア5||3222||3222||61||61||0.01893234016139044||0.01893234016139044
小沢一郎||3214||3214||104||104||0.03235843186060983||0.03235843186060983
ジャニーズJr.||3206||3206||48||48||0.014971927635683094||0.014971927635683094
広島県出身の人物一覧||3198||3198||3||3||9.380863039399625E-4||9.380863039399625E-4
ケロロ軍曹||3182||3182||16||16||0.00502828409805154||0.00502828409805154
3年B組金八先生)/history20180113||3179||3179||56||56||0.017615602390688895||0.017615602390688895
クレヨンしんちゃん||3171||3171||22||22||0.006937874487543362||0.006937874487543362
石原慎太郎||3160||3160||83||83||0.026265822784810128||0.026265822784810128
24時間テレビ 「愛は地球を救う」/history20160321||3154||3154||73||73||0.023145212428662017||0.023145212428662017
大喜利 (笑点)||3137||3137||83||83||0.02645839974497928||0.02645839974497928
UHFアニメ||3127||3127||11||11||0.003517748640869843||0.003517748640869843
クイズ!ヘキサゴンII||3102||3102||121||121||0.03900709219858156||0.03900709219858156
水戸黄門 (パナソニック ドラマシアター)||3099||3099||10||10||0.003226847370119393||0.003226847370119393
天装戦隊ゴセイジャー||3086||3086||67||67||0.02171095268956578||0.02171095268956578
DEATH NOTEの登場人物||3068||3068||9||9||0.0029335071707953064||0.0029335071707953064
イナズマイレブンの登場人物/history20150222||3068||3068||42||42||0.013689700130378096||0.013689700130378096
アメリカ横断ウルトラクイズ||3053||3053||6||6||0.001965280052407468||0.001965280052407468
相棒/history20150820||3047||3047||85||85||0.02789629143419757||0.02789629143419757
ドラえもん||3045||3045||97||97||0.03185550082101806||0.03185550082101806
テレビ東京||3039||3039||18||18||0.005923000987166831||0.005923000987166831
太鼓の達人||3036||3036||47||47||0.015480895915678524||0.015480895915678524
ちちんぷいぷい (テレビ番組)/history20180113||3031||3031||11||11||0.003629165291982844||0.003629165291982844
新世紀エヴァンゲリオン||3012||3012||44||44||0.014608233731739707||0.014608233731739707
そこまで言って委員会NP||3003||3003||12||12||0.003996003996003996||0.003996003996003996
銀魂 (アニメ)||2999||2999||5||5||0.0016672224074691564||0.0016672224074691564
国鉄485系電車||2998||2998||29||29||0.009673115410273516||0.009673115410273516
B'z||2985||2985||62||62||0.020770519262981575||0.020770519262981575
日本航空123便墜落事故||2981||2981||24||24||0.008050989600805098||0.008050989600805098
阪神タイガース||2976||2976||47||47||0.015793010752688172||0.015793010752688172
DEATH NOTE||2973||2973||35||35||0.011772620248906828||0.011772620248906828
読売ジャイアンツ||2972||2972||18||18||0.006056527590847914||0.006056527590847914
NARUTO -ナルト-||2947||2947||28||28||0.009501187648456057||0.009501187648456057
