
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
海賊戦隊ゴーカイジャー/log20120602||5041||5041||169||169||0.03352509422733584||0.03352509422733584
ONE PIECEの登場人物一覧/log||5010||5010||25||25||0.00499001996007984||0.00499001996007984
AKB48/log20110116||4789||4789||199||199||0.04155356024222176||0.04155356024222176
イナズマイレブンの登場人物/history20150222||4748||4748||60||60||0.012636899747262006||0.012636899747262006
仮面ライダーディケイド/log20091223||4546||4546||174||174||0.03827540695116586||0.03827540695116586
仮面ライダー電王/log20080331||4485||4485||26||26||0.005797101449275362||0.005797101449275362
ゲームセンターCX/history20160321||4400||4400||26||26||0.005909090909090909||0.005909090909090909
仮面ライダーフォーゼ||4341||4341||87||87||0.020041465100207326||0.020041465100207326
相棒/history20150820||4338||4338||176||176||0.04057169202397418||0.04057169202397418
青森放送/history20180113||4264||4264||9||9||0.0021106941838649157||0.0021106941838649157
新日本プロレス/history20160321||4246||4246||23||23||0.0054168629298162975||0.0054168629298162975
スーパー戦隊シリーズ/history20160321||4223||4223||52||52||0.012313521193464362||0.012313521193464362
森田一義アワー 笑っていいとも!/log20130117||4178||4178||46||46||0.011010052656773576||0.011010052656773576
けいおん!/log20120612||4172||4172||309||309||0.07406519654841802||0.07406519654841802
トリコ||4162||4162||101||101||0.02426717924074964||0.02426717924074964
アニメ版ポケットモンスターの登場人物/history20160321||4161||4161||52||52||0.012496995914443643||0.012496995914443643
SASUKE/history20180113||4105||4105||32||32||0.00779537149817296||0.00779537149817296
舞-乙HiME/log20120619||4089||4089||2||2||4.891171435558817E-4||4.891171435558817E-4
24時間テレビ 「愛は地球を救う」/history20160321||4083||4083||103||103||0.025226549106049472||0.025226549106049472
銀魂/log20081129||4001||4001||15||15||0.003749062734316421||0.003749062734316421
モーニング娘。||3948||3948||130||130||0.03292806484295846||0.03292806484295846
BLEACHの登場人物||3914||3914||41||41||0.010475217169136432||0.010475217169136432
笑点/log20110201||3890||3890||19||19||0.004884318766066838||0.004884318766066838
BLEACH/log20080419||3877||3877||20||20||0.005158627805003869||0.005158627805003869
AKB48/history20160321||3866||3866||385||385||0.09958613554061045||0.09958613554061045
仮面ライダーW/log20110201||3843||3843||77||77||0.020036429872495445||0.020036429872495445
情報ライブ ミヤネ屋||3829||3829||50||50||0.013058239749281797||0.013058239749281797
Yes!プリキュア5||3822||3822||78||78||0.02040816326530612||0.02040816326530612
NARUTO -ナルト-の登場人物/log20120612||3800||3800||87||87||0.022894736842105263||0.022894736842105263
アンパンマンの登場人物一覧/log20120613||3798||3798||69||69||0.018167456556082148||0.018167456556082148
ウルトラマンメビウス/log20100825||3792||3792||39||39||0.010284810126582278||0.010284810126582278
ミュージックステーション/log20120615||3784||3784||15||15||0.003964059196617336||0.003964059196617336
石原慎太郎||3778||3778||110||110||0.029115934356802542||0.029115934356802542
EXILE/log 20120611||3778||3778||54||54||0.014293276866066702||0.014293276866066702
銀魂の登場人物一覧/log20080904||3752||3752||3||3||7.995735607675906E-4||7.995735607675906E-4
ちちんぷいぷい (テレビ番組)/history20180113||3751||3751||23||23||0.006131698213809651||0.006131698213809651
パワーパフガールズ||3743||3743||43||43||0.011488111140796153||0.011488111140796153
オールスター感謝祭/history20190417||3720||3720||95||95||0.025537634408602152||0.025537634408602152
ナインティナインのオールナイトニッポン||3716||3716||26||26||0.006996770721205597||0.006996770721205597
第二次世界大戦/log20120619||3712||3712||37||37||0.009967672413793104||0.009967672413793104
ドラゴンボールの登場人物||3703||3703||70||70||0.01890359168241966||0.01890359168241966
ONE PIECE/log||3694||3694||29||29||0.00785056848944234||0.00785056848944234
阪神タイガース||3673||3673||89||89||0.024230873945004085||0.024230873945004085
クイズ!ヘキサゴンII/log20090401||3650||3650||31||31||0.008493150684931507||0.008493150684931507
小沢一郎||3650||3650||119||119||0.0326027397260274||0.0326027397260274
3年B組金八先生)/history20180113||3648||3648||67||67||0.01836622807017544||0.01836622807017544
機動戦士ガンダム00||3647||3647||76||76||0.020839045791061148||0.020839045791061148
奥州市||3619||3619||10||10||0.0027631942525559545||0.0027631942525559545
読売ジャイアンツ||3613||3613||35||35||0.009687240520343206||0.009687240520343206
銀魂の登場人物一覧||3611||3611||54||54||0.014954306286347273||0.014954306286347273
コードギアス 反逆のルルーシュ/log20080407||3610||3610||21||21||0.005817174515235457||0.005817174515235457
日本/log20090827||3601||3601||74||74||0.02054984726464871||0.02054984726464871
フジテレビジョン||3599||3599||48||48||0.013337038066129481||0.013337038066129481
太鼓の達人||3597||3597||71||71||0.019738671114817904||0.019738671114817904
銀魂 (アニメ)||3593||3593||13||13||0.0036181463957695517||0.0036181463957695517
家庭教師ヒットマンREBORN!/log20100415||3591||3591||128||128||0.03564466722361459||0.03564466722361459
テレビ神奈川||3589||3589||16||16||0.004458066313736417||0.004458066313736417
テニスの王子様の登場人物/log20120614||3586||3586||11||11||0.003067484662576687||0.003067484662576687
名探偵コナンの登場人物/history20180113||3581||3581||73||73||0.02038536721586149||0.02038536721586149
